Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exporter
Pakistan	5515074	6937792	8439729	9276492	11019596	13244482	16481153	17468609	18309555	16967145	16183489	15366711	China
Chile	4928470	8024930	10816758	12600992	13105469	13017501	13296051	12876486	14459966	15916332	14687691	15338907	China
South Africa	7365588	10799862	13362300	15323312	16830776	15699146	15878945	12936213	14894297	16337354	16560933	15243394	China
Bangladesh	4441067	6789097	7810658	7970093	9705087	11782272	13904754	14473047	15202749	17759540	17335124	15060011	China
Czech Republic	5023772	7121516	7669407	6323551	6837795	7992899	8227215	8052784	8781492	11912529	12911008	13738477	China
Egypt	5107359	6040984	7283233	8223921	8362675	10460510	11962663	10597944	9512991	12020880	12217146	13623257	China
Myanmar	2261243	3475524	4821497	5673756	7338689	9367647	9429575	8254504	9025273	10567874	12331175	12550828	China
Kazakhstan	7748172	9320401	9566530	11001238	12545124	12709849	8427397	8243298	11632542	11326581	12806979	11707219	China
Israel	3652651	5037050	6740798	6988137	7645304	7739106	8624495	8260029	8949589	9315784	9516484	11256915	China
Iraq	1838449	3589867	3824651	4911785	6894088	7743841	7925456	7656280	8348527	7917674	9473787	10923549	China
Colombia	2396433	3819950	5838843	6228774	6826037	8043334	7588037	6824573	7443100	8740282	9225688	9320562	China
Peru	2098874	3549668	4653277	5332544	6188838	6100848	6354911	6032569	6981392	8101650	8508588	8865838	China
Panama	6522357	11967279	14555810	15305692	10992734	9307389	8529293	6403851	6654978	6947567	7948178	8803232	China
Iran, Islamic Republic of	7918687	11092188	14761999	11598799	14036645	24338486	17831207	16578741	18642027	14008984	9608726	8510124	China
Sweden	4156381	5708835	6566883	6416053	6799061	7167601	7109201	6319591	7019611	8254438	8515588	8368716	China
Cambodia	907061	1347342	2314810	2708103	3409507	3274738	3770011	3963645	4795209	6022950	8000644	8057024	China
Denmark	4225931	5184702	6446596	6540747	5711397	6547832	6155176	5428335	6495779	7298392	6716704	7467536	China
Hungary	5343601	6518314	6806022	5737960	5692280	5764166	5198115	5422107	6042580	6540410	6439100	7404818	China
Argentina	3482893	6115764	8502556	7869366	8750430	7679829	8890252	7232640	9067643	8418453	6883198	7087350	China
Greece	3458065	3958943	3949368	3593168	3218976	4185607	3664447	4249965	4780552	6542161	7740224	7036443	China
Ukraine	3603782	5563831	7147075	7324649	7849225	5106229	3516420	4235573	5040557	7025517	7379260	6878004	China
Ghana	1533701	1932872	3109948	4790753	3946028	4134566	5312801	4758050	4863362	4821886	4906969	6756060	China
New Zealand	2085362	2764512	3736693	3864558	4131684	4737939	4922088	4814379	5099502	5799192	5704621	6055977	China
Algeria	4180239	3999999	4471882	5416657	6023897	7395178	7600452	7736763	6788723	7923382	6945571	5597417	China
Kenya	1277439	1786303	2368775	2788762	3217481	4930627	5918049	5668583	5045166	5204944	4984585	5410773	China
Uzbekistan	1560539	1181024	1359242	1783339	2613355	2678214	2236357	2033302	2763952	3942096	5044571	5145572	China
Romania	2377288	3004462	3453775	2797186	2822537	3223178	3186742	3462138	3776979	4512111	4562822	5126433	China
Switzerland	2664658	3038875	3713552	3507411	3529136	3109863	3196153	3231790	3194306	4111622	4543904	5093094	China
Portugal	1923516	2513318	2801434	2501158	2506864	3137073	2897547	4023223	3464745	3768702	4325492	4191503	China
Tanzania, United Republic of	914052	1253127	1653632	2089722	3140702	3843566	4286317	3636663	3135641	3590574	3814731	4174643	China
Morocco	2129258	2484472	3042649	3131193	3271645	2962993	2901954	3126765	3185421	3690128	4030060	4172591	China
Ireland	1979341	1992057	2166075	2098343	2477167	2801682	2825002	2789797	2908818	3651707	3267313	3996233	China
Sri Lanka	1569465	1994848	2988724	3001305	3436549	3792797	4308107	4331231	4096695	4266680	4088061	3842837	China
Kuwait	1542683	1848592	2128415	2089319	2675509	3428725	3775940	3064320	3115497	3321341	3860876	3578475	China
Norway	2675353	2836321	3785872	3019832	2737115	2731442	2858078	2605251	2475022	2652394	3392973	3534951	China
Slovenia	770101	1385669	1675371	1566641	1832812	1991942	2092396	2281868	2889919	4435174	3404442	3452439	China
Austria	1428190	1854333	2226819	2040342	2037527	2396212	2497854	2241478	2517300	2842355	3021832	3406739	China
Liberia	1881497	4396883	4966687	3446408	2335750	1711333	1357650	1587666	2102921	1941893	3909849	3404577	China
Marshall Islands	1354779	1946029	2190067	1823395	1422971	1237975	3374161	3975503	3094768	2156333	2384715	3276947	China
Ecuador	1003564	1495612	2224132	2613996	2966846	3245139	2893705	2269071	2959701	3719935	3632436	3253183	China
Jordan	1965980	1888900	2512724	2958958	3434555	3364531	3431339	3007548	2811456	2973958	3734207	3181626	China
Oman	747451	944497	998177	1811576	1900844	2065381	2117933	2174997	2325082	2875748	3020370	3091184	China
Slovakia	1399015	1958477	2512600	2423050	3084437	2828496	2795050	2861673	2727123	2558825	2893893	3033061	China
Finland	4525948	5498929	6640366	7440753	5831524	5098980	3552095	2889509	2838389	3086395	3024718	2949884	China
Yemen	1168419	1223859	1104281	1955099	2138817	2201314	1436297	1710399	1645825	1876595	2821134	2881253	China
Kyrgyzstan	5227522	4127513	4878289	5073516	5075346	5242520	4284720	5639551	5371401	5546955	6312091	2866119	China
Qatar	872411	855444	1198757	1205100	1710908	2254011	2279509	1540118	1683515	2488628	2409266	2632585	China
Senegal	399309	498321	680361	793973	997396	1650233	2194515	2236909	2048210	2145218	2212615	2563362	China
Sudan	0	0	0	2178614	2398432	1928693	2399546	2193031	2227198	1884771	2292123	2511655	China
Dominican Republic	592005	904338	967391	1029937	1045515	1273626	1559823	1586358	1706285	2111622	2393011	2494606	China
