Decision Tree Pred 2020	Decision Tree Pred 2021	Exported_value_in_2009	Exported_value_in_2010	Exported_value_in_2011	Exported_value_in_2012	Exported_value_in_2013	Exported_value_in_2014	Exported_value_in_2015	Exported_value_in_2016	Exported_value_in_2017	Exported_value_in_2018	Exported_value_in_2019	Exported_value_in_2020	Exporter	Importers	Lineer Reg Pred 2020	Lineer Reg Pred 2021	Poly Reg d3 Pred 2020	Poly Reg d3 Pred 2021	Random Forest Pred 2020	Random Forest Pred 2021	XG Boost Pred 2020	XG Boost Pred 2021
225355.0	225355.0	493393.0	853778.0	842993.0	1207486.0	1391731.0	748396.0	572329.0	662586.0	632165.0	206191.0	225355.0	128344.0	Argentina	Japan	359370.0	300531.0	252031.0	399313.0	275080.0	275080.0	222393.0	222393.0
164601.0	164601.0	51954.0	65434.0	182121.0	218936.0	245127.0	273693.0	213386.0	222438.0	247323.0	233444.0	164601.0	132204.0	Argentina	Jordan	269286.0	282069.0	148467.0	114684.0	180888.0	180888.0	165776.0	165776.0
127064.0	127064.0	22558.0	5912.0	43524.0	106190.0	11385.0	8019.0	15058.0	23477.0	83794.0	83332.0	127064.0	99342.0	Argentina	Kenya	91370.0	98564.0	215835.0	323835.0	106860.0	106860.0	125918.0	125918.0
712528.0	712528.0	587775.0	776358.0	972962.0	1381682.0	1002347.0	485209.0	583301.0	860260.0	505017.0	175821.0	712528.0	461409.0	Argentina	Korea, Republic of	477890.0	435671.0	963417.0	1541038.0	642201.0	642201.0	697386.0	697386.0
48085.0	48085.0	16283.0	32313.0	25362.0	31342.0	53694.0	51840.0	33858.0	21977.0	43061.0	102069.0	48085.0	26001.0	Argentina	Kuwait	66493.0	70607.0	82400.0	101248.0	52594.0	52594.0	47948.0	47948.0
1318.0	1318.0	24984.0	41778.0	135304.0	132045.0	192700.0	251222.0	144436.0	78793.0	62092.0	1787.0	1318.0	1160.0	Argentina	Latvia	61349.0	55415.0	-66473.0	-103995.0	16087.0	16087.0	1358.0	1358.0
87672.0	87672.0	48684.0	60326.0	81591.0	82874.0	103256.0	127819.0	94386.0	98469.0	102757.0	96650.0	87672.0	49188.0	Argentina	Lebanon	112738.0	116611.0	77421.0	66311.0	90036.0	90036.0	88143.0	88143.0
399.0	399.0	7259.0	4743.0	4064.0	4238.0	3508.0	1768.0	1119.0	1219.0	1126.0	629.0	399.0	270.0	Argentina	Liberia	-975.0	-1593.0	248.0	99.0	532.0	532.0	409.0	409.0
59960.0	59960.0	110515.0	137323.0	60487.0	95541.0	128751.0	175246.0	71113.0	67978.0	31188.0	61807.0	59960.0	3873.0	Argentina	Libya, State of	49692.0	42824.0	44994.0	46634.0	61484.0	61484.0	60929.0	60929.0
21777.0	21777.0	21719.0	25294.0	76535.0	164293.0	117225.0	59886.0	41341.0	44750.0	46040.0	32285.0	21777.0	5908.0	Argentina	Lithuania	38566.0	35128.0	60142.0	114653.0	26014.0	26014.0	21806.0	21806.0
3938.0	3938.0	3815.0	3296.0	5259.0	4946.0	4453.0	5041.0	6437.0	5559.0	6237.0	5012.0	3938.0	3948.0	Argentina	Macedonia, North	5652.0	5775.0	2446.0	224.0	4356.0	4356.0	3967.0	3967.0
868024.0	868024.0	551661.0	813082.0	973595.0	993685.0	962619.0	940662.0	839371.0	999823.0	866889.0	909008.0	868024.0	756522.0	Argentina	Malaysia	967189.0	981138.0	1003656.0	1172089.0	880365.0	880365.0	871073.0	871073.0
276.0	276.0	58.0	88.0	206.0	182.0	815.0	180.0	688.0	574.0	500.0	216.0	276.0	52.0	Argentina	Maldives	515.0	544.0	-69.0	-417.0	315.0	315.0	277.0	277.0
446.0	446.0	2808.0	1754.0	13384.0	3829.0	4526.0	3653.0	1941.0	876.0	13005.0	4078.0	446.0	246.0	Argentina	Mali	3910.0	3800.0	2508.0	1988.0	1059.0	1059.0	718.0	718.0
92138.0	92138.0	2908.0	1836.0	2696.0	1854.0	748.0	7425.0	7489.0	1094.0	157139.0	278181.0	92138.0	101.0	Argentina	Malta	160505.0	178869.0	192544.0	200822.0	105231.0	105231.0	91750.0	91750.0
293960.0	293960.0	935186.0	1230645.0	921285.0	889137.0	970251.0	907503.0	817968.0	779451.0	644217.0	466366.0	293960.0	114480.0	Argentina	Mexico	397846.0	329972.0	68505.0	-205625.0	384247.0	384247.0	294573.0	294573.0
1280.0	1280.0	1172.0	1579.0	2533.0	5092.0	2846.0	3083.0	3316.0	3604.0	3153.0	1102.0	1280.0	435.0	Argentina	Moldova, Republic of	2505.0	2486.0	166.0	-807.0	1547.0	1547.0	1255.0	1255.0
2247.0	2247.0	3110.0	1317.0	2261.0	1206.0	987.0	1239.0	1578.0	1222.0	1291.0	1855.0	2247.0	599.0	Argentina	Montenegro	1422.0	1382.0	2462.0	2768.0	2082.0	2082.0	2213.0	2213.0
571055.0	571055.0	123898.0	235464.0	423892.0	516054.0	484526.0	536290.0	333011.0	368736.0	508922.0	339726.0	571055.0	317075.0	Argentina	Morocco	538058.0	560438.0	733362.0	1027638.0	510854.0	510854.0	564242.0	564242.0
97310.0	97310.0	19722.0	43442.0	102059.0	69435.0	42084.0	46023.0	67004.0	58536.0	81695.0	77383.0	97310.0	46774.0	Argentina	Mozambique	89467.0	93701.0	144599.0	202641.0	90048.0	90048.0	96172.0	96172.0
1738.0	1738.0	165.0	246.0	5507.0	163.0	2205.0	4361.0	6833.0	6591.0	4479.0	3262.0	1738.0	2928.0	Argentina	Nepal	5104.0	5416.0	-2131.0	-7144.0	2604.0	2604.0	1814.0	1814.0
1606701.0	1606701.0	2392143.0	2369770.0	2548736.0	2204215.0	1912958.0	1574556.0	1205855.0	1170977.0	1374942.0	1523674.0	1606701.0	1209206.0	Argentina	Netherlands	1065509.0	941813.0	2402657.0	3382200.0	1539859.0	1539859.0	1599914.0	1599914.0
122159.0	122159.0	45916.0	49998.0	87793.0	117040.0	128525.0	139022.0	117207.0	97056.0	159415.0	90122.0	122159.0	9515.0	Argentina	New Zealand	143403.0	149814.0	112881.0	115607.0	115884.0	115884.0	121900.0	121900.0
3211.0	3211.0	12911.0	11606.0	35517.0	25979.0	37875.0	29431.0	23440.0	31357.0	75386.0	3405.0	3211.0	1363.0	Argentina	Nicaragua	28263.0	28578.0	-23218.0	-59687.0	6462.0	6462.0	3236.0	3236.0
