Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"Singapore"	109272	165953	168833	147411	123287	191434	114215	157460	116555	103610	156379	120369	
"Peru"	68202	120920	163212	161024	133232	128735	127747	124886	158943	188978	128127	117519	
"Czech Republic"	70714	138960	162633	154764	164499	163799	157599	159519	178526	189536	130700	110139	
"Qatar"	189	75284	290873	448592	1060505	828767	172567	276158	449205	458307	35829	106898	
"United Arab Emirates"	2819	14829	48117	32942	49494	29829	40070	70894	48704	137890	186096	91540	
"Philippines"	57309	58781	78834	87878	104926	97191	92824	102430	135955	130772	102999	85948	
"Portugal"	66512	95271	87520	93043	228294	105417	173934	75981	119121	155849	73609	78515	
"Trinidad and Tobago"	233375	511353	1275218	1905166	1861350	1842142	967428	291386	164725	153840	160846	75235	
"Oman"	84	11213	24295	654	1445	3940	22255	45597	32137	152379	52503	68031	
"Algeria"	89	78	3521	5	10	55528	22	49469	17060	86999	63508	67759	
"Saudi Arabia"	1993	28874	33763	75269	19660	62597	176506	245946	94393	204203	116234	62179	
"Romania"	18934	22561	41844	57765	57540	74762	67554	80515	77188	111840	84284	56129	
"Norway"	26979	67428	52053	180920	90287	162713	312393	132809	41565	71552	44029	47262	
"Slovakia"	41465	65928	76462	58789	72373	51559	46008	75849	69526	62402	41607	41628	
"Pakistan"	37954	48762	64408	52213	61602	55127	55809	55202	45135	55963	35441	35300	
"Argentina"	34030	28810	36856	46537	34210	28258	30330	31009	29973	29476	42221	30472	
"Cambodia"	5997	6522	14291	12228	15358	7409	13012	14770	16303	22746	20569	21291	
"Bahrain"	0	17328	0	5044	6841	990	276	445	7707	1314	3085	20251	
"Tunisia"	8431	36233	6803	9962	18522	6844	6720	7313	7931	44416	7621	19123	
"Slovenia"	8361	10765	16239	17440	22589	24943	16399	20100	25462	22001	15073	18055	
"Ukraine"	20032	64854	34253	20461	18952	10720	28154	8762	16840	24471	18986	17513	
"Bangladesh"	6346	6701	11749	8761	9296	8639	10413	13199	17520	44425	28926	17318	
"New Zealand"	14037	13408	15789	21334	16332	21463	21384	21784	17139	15964	12845	16215	
"Costa Rica"	29349	34670	47948	51348	53031	43850	26925	14645	17737	14646	14007	16121	
"Lithuania"	1098	23121	10426	50605	17338	21611	8575	9436	19045	53543	4709	13950	
"Bulgaria"	6227	10631	43350	9658	18003	10467	11331	15140	39655	17861	16015	13462	
"Serbia"	408	643	831	1133	1018	15995	3960	4364	8270	8663	9223	10930	
"Kazakhstan"	22683	16457	10029	400	4533	17133	7077	2917	3100	2945	824	10333	
"Greece"	4172	4476	17368	14370	14587	48516	13981	7225	21218	9465	6922	9553	
"Sri Lanka"	6026	7867	10417	8980	6402	7139	7633	11126	12465	11928	10080	9298	
"Luxembourg"	7809	4656	13913	12850	9580	13431	10259	7675	12595	12140	9096	7775	
